Id,Sales
1,4383.697
2,7488.1265
3,9118.33
4,6783.6777
5,7385.32
6,5804.0024
7,6911.406
8,7878.5635
9,6015.4883
10,5929.916
11,7013.4805
12,7818.3853
13,6987.7397
14,8454.271
15,5492.9326
16,4682.43
17,5518.403
18,9812.329
19,11078.733
20,10317.587
21,7435.879
22,4593.1147
23,5759.1406
24,4848.373
25,7998.9854
26,9595.6045
27,9236.629
28,5246.6094
29,5290.552
30,4830.4717
31,5740.2583
32,10170.408
33,6601.006
34,5343.4946
35,5529.505
36,8061.592
37,3536.8625
38,7168.5474
39,4633.918
40,7339.8213
41,7207.6816
42,5458.6904
43,7295.4106
44,7065.6514
45,5017.797
46,6623.5977
47,7805.7256
48,11103.423
49,6072.179
50,8259.004
51,7633.528
52,9241.405
53,6492.2207
54,8632.333
55,4985.156
56,5014.835
57,5938.9443
58,6142.924
59,8841.484
60,7497.0093
61,5690.258
62,7419.0815
63,6592.4297
64,9809.157
65,3561.6802
66,12717.675
67,4946.462
68,5854.55
69,8346.023
70,4735.2197
71,6281.1895
72,6651.866
73,7483.714
74,5313.9277
75,5399.16
76,7525.451
77,7834.315
78,6322.092
79,4831.9463
80,6969.242
81,11536.725
82,6651.428
83,4422.893
84,6655.1597
85,5798.989
86,5469.98
87,7035.034
88,3795.1082
89,8079.0264
90,5978.662
91,6805.31
92,6886.802
93,4216.3086
94,5786.6562
95,5471.2896
96,8342.855
97,7906.2354
98,5181.285
99,4503.9126
100,7449.1533
101,6067.177
102,5912.5996
103,6314.336
104,6642.217
105,7579.0654
106,5717.755
107,4473.619
108,6538.132
109,8236.93
110,8200.314
111,8323.898
112,7750.9146
113,5724.358
114,9172.122
115,5620.3115
116,7176.2573
117,9329.329
118,6848.2334
119,10448.632
120,7661.954
121,7565.1846
122,5909.2275
123,7417.723
124,7895.075
125,7161.9453
126,4179.728
127,5567.642
128,7871.743
129,5564.043
130,4884.515
131,8533.949
132,7054.7354
133,5896.199
134,6257.545
135,5200.0947
